日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.16,8748708,1117337,1340707,450076,557469,133094,301500,573939,910112,775203,822596,825971,404064,282184,254456,五一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.16,6890347,886934,1118656,408256,490013,104597,255237,460764,691254,552946,594173,618095,330219,212623,166580,五一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5.16,10201480,1244948,1568371,580741,856259,152206,431488,787507,989170,893027,790335,813040,575508,347816,171064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.16,10441367,1265682,1590946,582078,880540,155556,445202,819811,1026137,917762,802295,830690,591216,362933,170519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.16,10128528,1222348,1563980,559023,862981,147355,434398,838912,991389,880018,770880,772307,575902,354318,154717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5.16,11027555,1339418,1718896,601892,921192,163542,460531,892797,1092190,955864,850617,844977,621009,379731,184899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5.16,7912611,1004650,1199259,429341,616547,120713,321228,603926,827003,655845,648389,670315,402867,260557,151971,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5.16,6764589,863263,1030849,384615,512583,102337,276800,494524,718103,544620,552754,583638,342391,223229,134883,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5.16,10206560,1239766,1554864,568618,874275,152482,437270,809095,1001214,891667,778790,793116,585537,360244,159622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5.16,10361640,1253767,1591302,573640,884550,152458,445970,819903,996363,903503,795257,819766,595693,365965,163503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5.16,10842445,1298580,1687090,591155,909529,158422,457596,894049,1058496,941160,832206,854570,609854,374476,175262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5.16,10758953,1290287,1680856,582152,903460,156125,455012,899214,1045678,932280,830990,834005,604843,371516,172535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.5.16,11198479,1364883,1728383,611075,929714,165786,473587,900725,1103220,970052,865673,880867,627611,382753,194150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5.16,8404467,1057496,1258063,459899,638339,129119,336217,623671,877168,705986,701797,739624,430384,273902,172802,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.5.16,6844592,873947,1038926,398788,512741,103894,273548,489584,715397,554798,559081,602762,349061,223663,148402,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5.16,10526953,1274544,1624616,584983,891345,157330,446957,823269,1027346,920532,817705,829794,590818,369540,168174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5.16,10649980,1281020,1649586,584229,896609,156183,448747,837991,1038869,930227,829924,851184,600344,372046,173021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5.16,10767283,1293119,1662617,585937,904838,157443,454151,881699,1049820,935857,828308,850166,609833,376492,177003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.5.16,10748553,1290272,1671959,580102,897694,156542,450414,882528,1048003,940097,827507,838652,604280,375553,184950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.5.16,11076009,1357105,1722862,605496,925010,164124,464051,878256,1080986,959870,859983,853334,630303,388039,186590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5.16,6895573,879345,1035948,381199,540833,105438,280728,516974,719624,576891,556920,576007,360237,239294,126135,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5.16,7229811,919449,1084605,414170,536588,113223,288749,521739,742619,594785,591163,654607,370606,237660,159848,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5.16,10494234,1274135,1583635,585693,888670,156453,444059,851918,1013919,912481,800416,836120,602758,378234,165743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5.16,10627623,1284103,1602957,586276,911033,154927,445732,875417,1034505,916727,808860,851966,606208,384512,164400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
